2021-03-19	FOF210319018955	98TH AV & SB I880
2021-03-19	FOF210319018957	6TH ST & WEBSTER ST
2021-03-20	FOF210320019079	29TH ST & TELEGRAPH AV
2021-03-20	FOF210320019110	EB I580 & WB S24
2021-03-21	FOF210321019317	6TH ST & WEBSTER ST
2021-03-21	FOF210321019341	5TH ST & JACKSON ST
2021-03-21	FOF210321019359	5TH ST & WEBSTER ST
2021-03-21	FOF210321019397	13TH ST & CENTER ST
2021-03-21	FOF210321019411	E 12TH ST & 14TH AV
2021-03-22	FOF210322019424	BROADWAY & EB I580
2021-03-22	FOF210322019437	HARRISON ST & EB I580
2021-03-22	FOF210322019639	4000 ALAMEDA AV
2021-03-22	FOF210322019689	29TH ST & TELEGRAPH AV
2021-03-22	FOF210322019695	66TH AV & OAKPORT ST
2021-03-23	FOF210323019729	250 E 12TH ST
2021-03-23	FOF210323019796	6TH ST & WEBSTER ST
2021-03-23	FOF210323019955	14TH AV & MACARTHUR BLVD
2021-03-23	FOF210323019960	5800 OAKPORT ST
2021-03-23	FOF210323019971	5TH ST & MADISON ST
2021-03-23	FOF210323019972	5TH ST & OAK ST
2021-03-24	FOF210324019991	6TH ST & JACKSON ST
2021-03-24	FOF210324020011	6TH ST & JACKSON ST
2021-03-24	FOF210324020152	16TH ST & WOOD ST
2021-03-24	FOF210324020154	14TH ST & FRONTAGE RD
2021-03-25	FOF210325020285	40TH ST & MARTIN LUTHER KING JR WY
2021-03-25	FOF210325020301	14TH AV/E 33RD ST
2021-03-25	FOF210325020306	5TH ST & JACKSON ST
2021-03-25	FOF210325020367	2450 MARTIN LUTHER KING JR WY
2021-03-26	FOF210326020534	29TH ST & TELEGRAPH AV
2021-03-26	FOF210326020547	MARTIN LUTHER KING JR WY & SYCAMORE ST
2021-03-26	FOF210326020698	MACARTHUR BLVD & OAKLAND AV
2021-03-27	FOF210327020781	51ST ST & MARTIN LUTHER KING JR WY
2021-03-27	FOF210327020783	EB 27TH ONRP ST & EB S24
2021-03-27	FOF210327020921	8TH ST & JACKSON ST
2021-03-28	FOF210328021109	W GRAND AV & SAN PABLO AV
2021-03-28	FOF210328021117	BROADWAY & W MACARTHUR BLVD
2021-03-28	FOF210328021241	23RD ST & MARTIN LUTHER KING JR WY
2021-03-28	FOF210328021299	8TH ST & CASTRO ST
2021-03-29	FOF210329021371	34TH ST & PERALTA ST
2021-03-29	FOF210329021546	7TH ST & CASTRO ST
2021-03-30	FOF210330021638	E 12TH ST & 23RD AV
2021-03-30	FOF210330021683	6TH ST & FRANKLIN ST
2021-03-30	FOF210330021802	BEACH ST & WOOD ST
2021-03-31	FOF210331021950	HIGH ST & HOWARD ST
2021-03-31	FOF210331021953	4000 ALAMEDA AV
2021-03-31	FOF210331021995	12TH ST & LAKE MERRITT BLVD
2021-03-31	FOF210331022011	36TH ST & TELEGRAPH AV
2021-03-31	FOF210331022119	ALAMEDA AV & HIGH ST
2021-04-01	FOF210401022132	16TH ST & PULLMAN WY
2021-04-01	FOF210401022160	1026 PINE ST
