"Encampment Fires_ January 1, 2020 to April 20 2021",,,
Incident Type Description,Address,Create Date Only,Event Number
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"April, 26 2020",FOF200426028930
ENCAMPMENT /OUTSIDE,1700 E 12TH ST,"April, 26 2020",FOF200426028939
ENCAMPMENT /OUTSIDE,E 12TH ST&LAKE MERRITT BLVD,"April, 27 2020",FOF200427029114
ENCAMPMENT /OUTSIDE,21ST ST&BRUSH ST,"April, 27 2020",FOF200427029124
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"April, 27 2020",FOF200427029354
ENCAMPMENT /OUTSIDE,E 12TH ST&LAKE MERRITT BLVD,"April, 28 2020",FOF200428029545
ENCAMPMENT /OUTSIDE,HIGH ST&HOWARD ST,"May, 1 2020",FOF200501030044
ENCAMPMENT /OUTSIDE,12TH ST&BRUSH ST,"May, 2 2020",FOF200502030403
ENCAMPMENT /OUTSIDE,BROADWAY&SB I880,"May, 2 2020",FOF200502030427
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"May, 2 2020",FOF200502030452
ENCAMPMENT /OUTSIDE,83RD AV&INTERNATIONAL BLVD,"May, 5 2020",FOF200505031013
ENCAMPMENT /OUTSIDE,311 105TH AV,"May, 6 2020",FOF200506031328
ENCAMPMENT /OUTSIDE,38TH ST&MANILA AV,"May, 6 2020",FOF200506031395
ENCAMPMENT /OUTSIDE,24TH ST&WOOD ST,"May, 9 2020",FOF200509032089
ENCAMPMENT /OUTSIDE,4705 COLISEUM WY,"May, 10 2020",FOF200510032213
ENCAMPMENT /OUTSIDE,31ST ST&TELEGRAPH AV,"May, 10 2020",FOF200510032278
ENCAMPMENT /OUTSIDE,35TH AV&DELAWARE ST,"May, 11 2020",FOF200511032470
ENCAMPMENT /OUTSIDE,COLISEUM WY&HIGH ST,"May, 12 2020",FOF200512032678
ENCAMPMENT /OUTSIDE,E 12TH ST&17TH AV,"May, 13 2020",FOF200513033003
ENCAMPMENT /OUTSIDE,105TH AV&EDES AV,"May, 14 2020",FOF200514033080
