"Encampment Fires_ January 1, 2020 to April 20 2021",,,
Incident Type Description,Address,Create Date Only,Event Number
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"December, 5 2020",FOF201205083668
ENCAMPMENT /OUTSIDE,E 12TH ST&29TH AV,"December, 5 2020",FOF201205083690
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"December, 6 2020",FOF201206083787
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"December, 6 2020",FOF201206083806
ENCAMPMENT /OUTSIDE,2103 SAN PABLO AV,"December, 6 2020",FOF201206083909
ENCAMPMENT /OUTSIDE,3RD ST&CHESTER ST,"December, 7 2020",FOF201207084132
ENCAMPMENT /OUTSIDE,W GRAND AV&MARITIME ST,"December, 7 2020",FOF201207084145
ENCAMPMENT /OUTSIDE,2301 EMBARCADERO,"December, 8 2020",FOF201208084325
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"December, 8 2020",FOF201208084375
ENCAMPMENT /OUTSIDE,3400 TELEGRAPH AV,"December, 8 2020",FOF201208084443
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"December, 10 2020",FOF201210084880
ENCAMPMENT /OUTSIDE,55 SANTA CLARA AV,"December, 11 2020",FOF201211085091
ENCAMPMENT /OUTSIDE,5TH AV&EMBARCADERO,"December, 11 2020",FOF201211085239
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"December, 12 2020",FOF201212085327
ENCAMPMENT /OUTSIDE,W GRAND AV&NB I880 CONN,"December, 12 2020",FOF201212085360
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"December, 12 2020",FOF201212085391
ENCAMPMENT /OUTSIDE,5TH ST&JACKSON ST,"December, 13 2020",FOF201213085632
ENCAMPMENT /OUTSIDE,E 12TH ST&29TH AV,"December, 14 2020",FOF201214085736
ENCAMPMENT /OUTSIDE,E 12TH ST&14TH AV,"December, 16 2020",FOF201216086312
ENCAMPMENT /OUTSIDE,5TH ST&BROADWAY,"December, 16 2020",FOF201216086324
ENCAMPMENT /OUTSIDE,1006 JEFFERSON ST,"December, 16 2020",FOF201216086417
ENCAMPMENT /OUTSIDE,36TH ST&MARTIN LUTHER KING JR WY,"December, 17 2020",FOF201217086443
ENCAMPMENT /OUTSIDE,32ND ST&WOOD ST,"December, 17 2020",FOF201217086498
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"December, 18 2020",FOF201218086687
ENCAMPMENT /OUTSIDE,5TH ST&MARKET ST,"December, 18 2020",FOF201218086810
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"December, 19 2020",FOF201219086901
ENCAMPMENT /OUTSIDE,1101 EMBARCADERO WEST,"December, 21 2020",FOF201221087486
ENCAMPMENT /OUTSIDE,MARTIN LUTHER KING JR WY&SYCAMORE ST,"December, 22 2020",FOF201222087615
ENCAMPMENT /OUTSIDE,W GRAND AV&WOOD ST,"December, 22 2020",FOF201222087773
ENCAMPMENT /OUTSIDE,414 HALE AV,"December, 23 2020",FOF201223087844
ENCAMPMENT /OUTSIDE,6TH ST&MARTIN LUTHER KING JR WY,"December, 23 2020",FOF201223088021
ENCAMPMENT /OUTSIDE,12TH ST&WB I980,"December, 24 2020",FOF201224088110
ENCAMPMENT /OUTSIDE,600 HARRISON ST,"December, 24 2020",FOF201224088205
ENCAMPMENT /OUTSIDE,E 16TH ST&FRUITVALE AV,"December, 25 2020",FOF201225088387
ENCAMPMENT /OUTSIDE,5TH ST&FILBERT ST,"December, 26 2020",FOF201226088498
ENCAMPMENT /OUTSIDE,3775 ALAMEDA AV,"December, 26 2020",FOF201226088526
ENCAMPMENT /OUTSIDE,7TH ST&CASTRO ST,"December, 27 2020",FOF201227088787
ENCAMPMENT /OUTSIDE,5920 SAN PABLO AV,"December, 27 2020",FOF201227088934
ENCAMPMENT /OUTSIDE,ADAMS ST&MACARTHUR BLVD,"December, 27 2020",FOF201227088950
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"December, 28 2020",FOF201228089151
ENCAMPMENT /OUTSIDE,E 12TH ST&18TH AV,"December, 29 2020",FOF201229089280
ENCAMPMENT /OUTSIDE,5TH ST&WEBSTER ST,"December, 29 2020",FOF201229089430
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"December, 29 2020",FOF201229089459
ENCAMPMENT /OUTSIDE,EMBARCADERO&OAK ST,"December, 30 2020",FOF201230089507
ENCAMPMENT /OUTSIDE,4TH ST&FALLON ST,"December, 31 2020",FOF201231089776
ENCAMPMENT /OUTSIDE,66TH AV&SAN LEANDRO ST,"December, 31 2020",FOF201231089948
ENCAMPMENT /OUTSIDE,26TH ST&WOOD ST,"December, 31 2020",FOF201231089952
ENCAMPMENT /OUTSIDE,4TH ST&FRANKLIN ST,"December, 31 2020",FOF201231089961
ENCAMPMENT /OUTSIDE,E 12TH ST&20TH AV,"January, 1 2021",FOF210101000083
ENCAMPMENT /OUTSIDE,ALAMEDA AV&HOWARD ST,"January, 1 2021",FOF210101000201
ENCAMPMENT /OUTSIDE,75TH AV&SPENCER ST,"January, 1 2021",FOF210101000220
ENCAMPMENT /OUTSIDE,60TH ST&SAN PABLO AV,"January, 2 2021",FOF210102000488
ENCAMPMENT /OUTSIDE,NB HIGH ONRP ST&NB I880,"January, 3 2021",FOF210103000525
ENCAMPMENT /OUTSIDE,COLISEUM WY&HIGH ST,"January, 3 2021",FOF210103000553
ENCAMPMENT /OUTSIDE,BALDWIN ST&HEGENBERGER RD,"January, 4 2021",FOF210104000773
ENCAMPMENT /OUTSIDE,105TH AV&SAN LEANDRO ST,"January, 4 2021",FOF210104000831
ENCAMPMENT /OUTSIDE,54TH AV&SAN LEANDRO ST,"January, 5 2021",FOF210105001039
ENCAMPMENT /OUTSIDE,3314 35TH AV,"January, 5 2021",FOF210105001136
ENCAMPMENT /OUTSIDE,7TH ST&FRONTAGE RD,"January, 5 2021",FOF210105001166
ENCAMPMENT /OUTSIDE,20TH ST&CASTRO ST,"January, 5 2021",FOF210105001207
ENCAMPMENT /OUTSIDE,85TH AV&SAN LEANDRO ST,"January, 6 2021",FOF210106001310
ENCAMPMENT /OUTSIDE,6TH ST&JACKSON ST,"January, 6 2021",FOF210106001425
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"January, 7 2021",FOF210107001486
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"January, 7 2021",FOF210107001585
ENCAMPMENT /OUTSIDE,7TH ST&WEBSTER ST,"January, 7 2021",FOF210107001614
ENCAMPMENT /OUTSIDE,989 BRUSH ST,"January, 7 2021",FOF210107001639
ENCAMPMENT /OUTSIDE,5TH ST&KIRKHAM ST,"January, 7 2021",FOF210107001661
ENCAMPMENT /OUTSIDE,APGAR ST&W MACARTHUR BLVD,"January, 8 2021",FOF210108001870
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"January, 9 2021",FOF210109001998
ENCAMPMENT /OUTSIDE,17TH ST&BRUSH ST,"January, 9 2021",FOF210109002190
ENCAMPMENT /OUTSIDE,E 12TH ST&7TH AV,"January, 11 2021",FOF210111002540
ENCAMPMENT /OUTSIDE,3200 WOOD ST,"January, 11 2021",FOF210111002571
ENCAMPMENT /OUTSIDE,11TH ST&CLAY ST,"January, 13 2021",FOF210113003160
ENCAMPMENT /OUTSIDE,3481 HOLLIS ST,"January, 14 2021",FOF210114003270
ENCAMPMENT /OUTSIDE,59TH ST&SAN PABLO AV,"January, 14 2021",FOF210114003329
ENCAMPMENT /OUTSIDE,425 HARRISON ST,"January, 15 2021",FOF210115003410
ENCAMPMENT /OUTSIDE,E 12TH ST&22ND AV,"January, 15 2021",FOF210115003529
ENCAMPMENT /OUTSIDE,1018 PINE ST,"January, 15 2021",FOF210115003570
ENCAMPMENT /OUTSIDE,HIGH ST&INTERNATIONAL BLVD,"January, 16 2021",FOF210116003674
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"January, 16 2021",FOF210116003743
ENCAMPMENT /OUTSIDE,73RD AV&SAN LEANDRO ST,"January, 17 2021",FOF210117004018
ENCAMPMENT /OUTSIDE,3RD ST&ADELINE ST,"January, 18 2021",FOF210118004252
ENCAMPMENT /OUTSIDE,5TH ST&FILBERT ST,"January, 18 2021",FOF210118004253
ENCAMPMENT /OUTSIDE,66TH AV&COLISEUM WY,"January, 18 2021",FOF210118004378
ENCAMPMENT /OUTSIDE,3400 WOOD ST,"January, 19 2021",FOF210119004456
ENCAMPMENT /OUTSIDE,E 12TH ST&18TH AV,"January, 19 2021",FOF210119004464
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"January, 19 2021",FOF210119004660
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"January, 19 2021",FOF210119004665
ENCAMPMENT /OUTSIDE,59TH ST&SAN PABLO AV,"January, 19 2021",FOF210119004700
ENCAMPMENT /OUTSIDE,7TH ST&SB I880,"January, 20 2021",FOF210120004737
ENCAMPMENT /OUTSIDE,E 12TH ST&29TH AV,"January, 20 2021",FOF210120004774
ENCAMPMENT /OUTSIDE,W GRAND AV&MARTIN LUTHER KING JR WY,"January, 20 2021",FOF210120004775
ENCAMPMENT /OUTSIDE,66TH AV&COLISEUM WY,"January, 20 2021",FOF210120004811
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"January, 20 2021",FOF210120004904
ENCAMPMENT /OUTSIDE,W GRAND AV&WOOD ST,"January, 20 2021",FOF210120004947
ENCAMPMENT /OUTSIDE,FRONTAGE RD&W GRAND AV,"January, 20 2021",FOF210120004965
ENCAMPMENT /OUTSIDE,E 12TH ST&1ST AV,"January, 21 2021",FOF210121005152
ENCAMPMENT /OUTSIDE,5TH ST&FILBERT ST,"January, 21 2021",FOF210121005184
ENCAMPMENT /OUTSIDE,5TH ST&MARKET ST,"January, 23 2021",FOF210123005614
ENCAMPMENT /OUTSIDE,5TH ST&FILBERT ST,"January, 23 2021",FOF210123005618
ENCAMPMENT /OUTSIDE,27TH ST&NORTHGATE AV,"January, 24 2021",FOF210124005753
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"January, 24 2021",FOF210124005856
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"January, 25 2021",FOF210125005945
ENCAMPMENT /OUTSIDE,29TH ST&MARTIN LUTHER KING JR WY,"January, 25 2021",FOF210125005954
ENCAMPMENT /OUTSIDE,E 12TH ST&23RD AV,"January, 25 2021",FOF210125006068
ENCAMPMENT /OUTSIDE,801 10TH ST,"January, 26 2021",FOF210126006262
ENCAMPMENT /OUTSIDE,2510 WOOD ST,"January, 26 2021",FOF210126006426
ENCAMPMENT /OUTSIDE,LAKE PARK AV&LAKESHORE AV,"January, 27 2021",FOF210127006483
ENCAMPMENT /OUTSIDE,3532 TELEGRAPH AV,"January, 27 2021",FOF210127006526
ENCAMPMENT /OUTSIDE,700 WEBSTER ST,"January, 27 2021",FOF210127006542
ENCAMPMENT /OUTSIDE,MARTIN LUTHER KING JR WY&THOMAS L. BERKLEY WY,"January, 28 2021",FOF210128006724
ENCAMPMENT /OUTSIDE,60TH ST&SAN PABLO AV,"January, 28 2021",FOF210128006894
ENCAMPMENT /OUTSIDE,E 12TH ST&26TH AV,"January, 29 2021",FOF210129007098
ENCAMPMENT /OUTSIDE,2537 WILLOW ST,"January, 29 2021",FOF210129007160
ENCAMPMENT /OUTSIDE,7TH ST&ADELINE ST,"January, 30 2021",FOF210130007254
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"January, 30 2021",FOF210130007275
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"January, 30 2021",FOF210130007299
ENCAMPMENT /OUTSIDE,2840 CHAPMAN ST,"January, 30 2021",FOF210130007446
ENCAMPMENT /OUTSIDE,W GRAND AV&MARTIN LUTHER KING JR WY,"January, 31 2021",FOF210131007490
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"January, 31 2021",FOF210131007645
ENCAMPMENT /OUTSIDE,E 12TH ST&HIGH ST,"February, 1 2021",FOF210201007713
ENCAMPMENT /OUTSIDE,1541 E 12TH ST,"February, 1 2021",FOF210201007750
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"February, 1 2021",FOF210201007942
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"February, 2 2021",FOF210202008108
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"February, 2 2021",FOF210202008174
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"February, 4 2021",FOF210204008448
ENCAMPMENT /OUTSIDE,E 12TH ST&1ST AV,"February, 4 2021",FOF210204008485
ENCAMPMENT /OUTSIDE,LAKE PARK AV&LAKESHORE AV,"February, 4 2021",FOF210204008580
ENCAMPMENT /OUTSIDE,601 WEBSTER ST,"February, 4 2021",FOF210204008645
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"February, 5 2021",FOF210205008908
ENCAMPMENT /OUTSIDE,34TH ST&HOLLIS ST,"February, 5 2021",FOF210205008914
ENCAMPMENT /OUTSIDE,E 12TH ST&20TH AV,"February, 6 2021",FOF210206009028
ENCAMPMENT /OUTSIDE,26TH ST&WOOD ST,"February, 6 2021",FOF210206009029
ENCAMPMENT /OUTSIDE,6TH ST&BRUSH ST,"February, 7 2021",FOF210207009218
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"February, 7 2021",FOF210207009237
ENCAMPMENT /OUTSIDE,7TH ST&BROADWAY,"February, 8 2021",FOF210208009458
ENCAMPMENT /OUTSIDE,ADELINE ST&STANFORD AV,"February, 8 2021",FOF210208009494
ENCAMPMENT /OUTSIDE,E 12TH ST&26TH AV,"February, 9 2021",FOF210209009766
ENCAMPMENT /OUTSIDE,30TH ST&TELEGRAPH AV,"February, 9 2021",FOF210209009815
ENCAMPMENT /OUTSIDE,E 12TH ST&26TH AV,"February, 9 2021",FOF210209009855
ENCAMPMENT /OUTSIDE,73RD AV&SAN LEANDRO ST,"February, 9 2021",FOF210209009870
ENCAMPMENT /OUTSIDE,BROADWAY&W MACARTHUR BLVD,"February, 10 2021",FOF210210010074
ENCAMPMENT /OUTSIDE,36TH ST&WEST ST,"February, 11 2021",FOF210211010173
ENCAMPMENT /OUTSIDE,FRONTAGE RD&W GRAND AV,"February, 11 2021",FOF210211010273
ENCAMPMENT /OUTSIDE,36TH ST&TELEGRAPH AV,"February, 12 2021",FOF210212010484
ENCAMPMENT /OUTSIDE,40TH ST&YERBA BUENA AV,"February, 13 2021",FOF210213010841
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"February, 15 2021",FOF210215011159
ENCAMPMENT /OUTSIDE,W GRAND AV&SAN PABLO AV,"February, 15 2021",FOF210215011186
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"February, 15 2021",FOF210215011219
ENCAMPMENT /OUTSIDE,5TH ST&MARKET ST,"February, 15 2021",FOF210215011233
ENCAMPMENT /OUTSIDE,30TH ST&MARTIN LUTHER KING JR WY,"February, 15 2021",FOF210215011350
ENCAMPMENT /OUTSIDE,MACARTHUR BLVD&OAKLAND AV,"February, 16 2021",FOF210216011410
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"February, 16 2021",FOF210216011414
ENCAMPMENT /OUTSIDE,EB I580&WEBSTER ST,"February, 16 2021",FOF210216011419
ENCAMPMENT /OUTSIDE,29TH ST&MARTIN LUTHER KING JR WY,"February, 16 2021",FOF210216011438
ENCAMPMENT /OUTSIDE,7TH ST&MARKET ST,"February, 17 2021",FOF210217011651
ENCAMPMENT /OUTSIDE,5TH ST&MARKET ST,"February, 18 2021",FOF210218011861
ENCAMPMENT /OUTSIDE,3612 WEBSTER ST,"February, 19 2021",FOF210219012219
ENCAMPMENT /OUTSIDE,3612 WEBSTER ST,"February, 19 2021",FOF210219012223
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"February, 20 2021",FOF210220012346
ENCAMPMENT /OUTSIDE,CALDECOTT LN / TUNNEL RD,"February, 20 2021",FOF210220012450
ENCAMPMENT /OUTSIDE,5TH AV&EMBARCADERO,"February, 21 2021",FOF210221012603
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"February, 21 2021",FOF210221012606
ENCAMPMENT /OUTSIDE,16TH ST&BRUSH ST,"February, 21 2021",FOF210221012659
ENCAMPMENT /OUTSIDE,425 MARKET ST,"February, 22 2021",FOF210222012829
ENCAMPMENT /OUTSIDE,5TH ST&MANDELA PKWY,"February, 22 2021",FOF210222012921
ENCAMPMENT /OUTSIDE,W GRAND AV&SAN PABLO AV,"February, 22 2021",FOF210222012972
ENCAMPMENT /OUTSIDE,81ST AV&SAN LEANDRO ST,"February, 23 2021",FOF210223013110
ENCAMPMENT /OUTSIDE,1900 E 12TH ST,"February, 23 2021",FOF210223013146
ENCAMPMENT /OUTSIDE,790 54TH AV,"February, 23 2021",FOF210223013148
ENCAMPMENT /OUTSIDE,2100 WOODBINE AV,"February, 25 2021",FOF210225013538
ENCAMPMENT /OUTSIDE,35TH ST&MARTIN LUTHER KING JR WY,"February, 25 2021",FOF210225013590
ENCAMPMENT /OUTSIDE,73RD AV&SAN LEANDRO ST,"February, 25 2021",FOF210225013696
ENCAMPMENT /OUTSIDE,5TH ST&FILBERT ST,"February, 25 2021",FOF210225013730
ENCAMPMENT /OUTSIDE,2845 CHAPMAN ST,"February, 25 2021",FOF210225013740
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"February, 26 2021",FOF210226013826
ENCAMPMENT /OUTSIDE,EB I580 CONN&NB I880 CONN,"February, 26 2021",FOF210226014026
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"February, 27 2021",FOF210227014136
ENCAMPMENT /OUTSIDE,HAVEN ST&PERALTA ST,"February, 27 2021",FOF210227014214
ENCAMPMENT /OUTSIDE,1900 E 12TH ST,"February, 28 2021",FOF210228014314
ENCAMPMENT /OUTSIDE,CLAREMONT AV&CLIFTON ST,"February, 28 2021",FOF210228014412
ENCAMPMENT /OUTSIDE,4TH ST&MARKET ST,"March, 1 2021",FOF210301014502
ENCAMPMENT /OUTSIDE,SB ADELINE ONRP ST&SB I880,"March, 1 2021",FOF210301014528
ENCAMPMENT /OUTSIDE,5TH ST&HARRISON ST,"March, 1 2021",FOF210301014535
ENCAMPMENT /OUTSIDE,16TH ST&MANDELA PKWY,"March, 1 2021",FOF210301014658
ENCAMPMENT /OUTSIDE,699 BELLEVUE AV,"March, 2 2021",FOF210302014827
ENCAMPMENT /OUTSIDE,HIGH ST&INTERNATIONAL BLVD,"March, 2 2021",FOF210302014860
ENCAMPMENT /OUTSIDE,E 12TH ST&17TH AV,"March, 2 2021",FOF210302014871
ENCAMPMENT /OUTSIDE,2845 CHAPMAN ST,"March, 2 2021",FOF210302014964
ENCAMPMENT /OUTSIDE,4000 ALAMEDA AV,"March, 3 2021",FOF210303015012
ENCAMPMENT /OUTSIDE,60TH ST&SAN PABLO AV,"March, 3 2021",FOF210303015241
ENCAMPMENT /OUTSIDE,59TH ST&SAN PABLO AV,"March, 3 2021",FOF210303015244
ENCAMPMENT /OUTSIDE,W GRAND AV&SAN PABLO AV,"March, 4 2021",FOF210304015400
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"March, 4 2021",FOF210304015433
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"March, 5 2021",FOF210305015548
ENCAMPMENT /OUTSIDE,2ND AV&FOOTHILL BLVD,"March, 5 2021",FOF210305015699
ENCAMPMENT /OUTSIDE,HIGH ST&JENSEN ST,"March, 6 2021",FOF210306015790
ENCAMPMENT /OUTSIDE,BROADWAY&EB I580,"March, 6 2021",FOF210306015908
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"March, 7 2021",FOF210307016027
ENCAMPMENT /OUTSIDE,DENNISON ST&EMBARCADERO,"March, 7 2021",FOF210307016043
ENCAMPMENT /OUTSIDE,36TH ST&TELEGRAPH AV,"March, 7 2021",FOF210307016103
ENCAMPMENT /OUTSIDE,BROADWAY&EB I580,"March, 7 2021",FOF210307016157
ENCAMPMENT /OUTSIDE,2000 SAN PABLO AV,"March, 8 2021",FOF210308016372
ENCAMPMENT /OUTSIDE,CROXTON AV&RICHMOND BLVD,"March, 8 2021",FOF210308016411
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"March, 9 2021",FOF210309016498
ENCAMPMENT /OUTSIDE,HEGENBERGER RD&SAN LEANDRO ST,"March, 9 2021",FOF210309016621
ENCAMPMENT /OUTSIDE,16TH ST&WOOD ST,"March, 10 2021",FOF210310016715
ENCAMPMENT /OUTSIDE,27TH ST&NORTHGATE AV,"March, 10 2021",FOF210310016857
ENCAMPMENT /OUTSIDE,5TH ST&ADELINE ST,"March, 10 2021",FOF210310016866
ENCAMPMENT /OUTSIDE,5TH ST&UNION ST,"March, 10 2021",FOF210310016868
ENCAMPMENT /OUTSIDE,4336 BROOKDALE AV,"March, 11 2021",FOF210311017089
ENCAMPMENT /OUTSIDE,6TH ST&ADELINE ST,"March, 12 2021",FOF210312017171
ENCAMPMENT /OUTSIDE,624 SYCAMORE ST,"March, 12 2021",FOF210312017391
ENCAMPMENT /OUTSIDE,6TH ST&FRANKLIN ST,"March, 12 2021",FOF210312017395
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"March, 14 2021",FOF210314017694
ENCAMPMENT /OUTSIDE,22ND ST&BRUSH ST,"March, 15 2021",FOF210315017999
ENCAMPMENT /OUTSIDE,3612 WEBSTER ST,"March, 15 2021",FOF210315018039
ENCAMPMENT /OUTSIDE,24TH ST&WOOD ST,"March, 16 2021",FOF210316018057
ENCAMPMENT /OUTSIDE,5TH ST&JACKSON ST,"March, 16 2021",FOF210316018081
ENCAMPMENT /OUTSIDE,5TH ST&MADISON ST,"March, 16 2021",FOF210316018085
ENCAMPMENT /OUTSIDE,2510 WOOD ST,"March, 16 2021",FOF210316018141
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"March, 16 2021",FOF210316018151
ENCAMPMENT /OUTSIDE,ALAMEDA AV&HIGH ST,"March, 16 2021",FOF210316018200
ENCAMPMENT /OUTSIDE,29TH ST&MARTIN LUTHER KING JR WY,"March, 16 2021",FOF210316018224
ENCAMPMENT /OUTSIDE,30TH ST&MARTIN LUTHER KING JR WY,"March, 16 2021",FOF210316018228
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"March, 16 2021",FOF210316018259
ENCAMPMENT /OUTSIDE,13TH ST&MANDELA PKWY,"March, 17 2021",FOF210317018361
ENCAMPMENT /OUTSIDE,14TH ST&OAK ST,"March, 17 2021",FOF210317018473
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"March, 18 2021",FOF210318018572
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"March, 18 2021",FOF210318018608
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"March, 18 2021",FOF210318018672
ENCAMPMENT /OUTSIDE,EB I580&WEBSTER ST,"March, 19 2021",FOF210319018954
ENCAMPMENT /OUTSIDE,98TH AV&SB I880,"March, 19 2021",FOF210319018955
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"March, 19 2021",FOF210319018957
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"March, 20 2021",FOF210320019079
ENCAMPMENT /OUTSIDE,EB I580&WB S24,"March, 20 2021",FOF210320019110
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"March, 21 2021",FOF210321019317
ENCAMPMENT /OUTSIDE,5TH ST&JACKSON ST,"March, 21 2021",FOF210321019341
ENCAMPMENT /OUTSIDE,5TH ST&WEBSTER ST,"March, 21 2021",FOF210321019359
ENCAMPMENT /OUTSIDE,13TH ST&CENTER ST,"March, 21 2021",FOF210321019397
ENCAMPMENT /OUTSIDE,E 12TH ST&14TH AV,"March, 21 2021",FOF210321019411
ENCAMPMENT /OUTSIDE,BROADWAY&EB I580,"March, 22 2021",FOF210322019424
ENCAMPMENT /OUTSIDE,HARRISON ST&EB I580,"March, 22 2021",FOF210322019437
ENCAMPMENT /OUTSIDE,4000 ALAMEDA AV,"March, 22 2021",FOF210322019639
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"March, 22 2021",FOF210322019689
ENCAMPMENT /OUTSIDE,66TH AV&OAKPORT ST,"March, 22 2021",FOF210322019695
ENCAMPMENT /OUTSIDE,250 E 12TH ST,"March, 23 2021",FOF210323019729
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"March, 23 2021",FOF210323019796
ENCAMPMENT /OUTSIDE,14TH AV&MACARTHUR BLVD,"March, 23 2021",FOF210323019955
ENCAMPMENT /OUTSIDE,5800 OAKPORT ST,"March, 23 2021",FOF210323019960
ENCAMPMENT /OUTSIDE,5TH ST&MADISON ST,"March, 23 2021",FOF210323019971
ENCAMPMENT /OUTSIDE,5TH ST&OAK ST,"March, 23 2021",FOF210323019972
ENCAMPMENT /OUTSIDE,6TH ST&JACKSON ST,"March, 24 2021",FOF210324019991
ENCAMPMENT /OUTSIDE,6TH ST&JACKSON ST,"March, 24 2021",FOF210324020011
ENCAMPMENT /OUTSIDE,16TH ST&WOOD ST,"March, 24 2021",FOF210324020152
ENCAMPMENT /OUTSIDE,14TH ST&FRONTAGE RD,"March, 24 2021",FOF210324020154
ENCAMPMENT /OUTSIDE,40TH ST&MARTIN LUTHER KING JR WY,"March, 25 2021",FOF210325020285
ENCAMPMENT /OUTSIDE,14TH AV/E 33RD ST,"March, 25 2021",FOF210325020301
ENCAMPMENT /OUTSIDE,5TH ST&JACKSON ST,"March, 25 2021",FOF210325020306
ENCAMPMENT /OUTSIDE,2450 MARTIN LUTHER KING JR WY,"March, 25 2021",FOF210325020367
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"March, 26 2021",FOF210326020534
ENCAMPMENT /OUTSIDE,MARTIN LUTHER KING JR WY&SYCAMORE ST,"March, 26 2021",FOF210326020547
ENCAMPMENT /OUTSIDE,MACARTHUR BLVD&OAKLAND AV,"March, 26 2021",FOF210326020698
ENCAMPMENT /OUTSIDE,51ST ST&MARTIN LUTHER KING JR WY,"March, 27 2021",FOF210327020781
ENCAMPMENT /OUTSIDE,EB 27TH ONRP ST&EB S24,"March, 27 2021",FOF210327020783
ENCAMPMENT /OUTSIDE,8TH ST&JACKSON ST,"March, 27 2021",FOF210327020921
ENCAMPMENT /OUTSIDE,W GRAND AV&SAN PABLO AV,"March, 28 2021",FOF210328021109
ENCAMPMENT /OUTSIDE,BROADWAY&W MACARTHUR BLVD,"March, 28 2021",FOF210328021117
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"March, 28 2021",FOF210328021241
ENCAMPMENT /OUTSIDE,8TH ST&CASTRO ST,"March, 28 2021",FOF210328021299
ENCAMPMENT /OUTSIDE,34TH ST&PERALTA ST,"March, 29 2021",FOF210329021371
ENCAMPMENT /OUTSIDE,7TH ST&CASTRO ST,"March, 29 2021",FOF210329021546
ENCAMPMENT /OUTSIDE,E 12TH ST&23RD AV,"March, 30 2021",FOF210330021638
ENCAMPMENT /OUTSIDE,6TH ST&FRANKLIN ST,"March, 30 2021",FOF210330021683
ENCAMPMENT /OUTSIDE,BEACH ST&WOOD ST,"March, 30 2021",FOF210330021802
ENCAMPMENT /OUTSIDE,HIGH ST&HOWARD ST,"March, 31 2021",FOF210331021950
ENCAMPMENT /OUTSIDE,4000 ALAMEDA AV,"March, 31 2021",FOF210331021953
